SECTION-PRE,
"EMBER-2","Игры WonderDisc ограничены региональными блокировками."
"EMBER-2","Почему?"
"Moss","Деловые причины, я думаю."
,"Я не знаю."
,"Большие корпорации всегда хотят контроля..."
"EMBER-2","Искусственный дефицит?"
,"Должна быть причина."
,"О, так ты поэтому снимаешь блокировку региона?"
"EMBER-2","Вы не хотели бы, чтобы геймеры слишком легко импортировали игры."
,"Возможно, это в интересах безопасности."
,"Продемонстрировать принцип свободы модификации."
"EMBER-2","Чем меньше усилий это требует, тем менее особенным оно является."
,"Если бы игра была возбудителем инфекции, вы могли бы ограничить вспышку одной территорией."
,"Вы уверены, что это не просто так, чтобы вы могли поиграть в игру?"
"EMBER-2","Хм."
SECTION-POST,
"EMBER-2","Это была большая работа, чтобы сыграть одну игру."
"EMBER-2","Думаете, оно того стоит?"
"Moss","Определенно."
,"Посмотрим..."
,"Взлом сам по себе является наградой."
"EMBER-2","Все знают, что малоизвестные импортные игры — лучшие."
,"Это захватывающе."
,"Конечно. Особенно, когда ты получаешь от этого что-то осязаемое."
"EMBER-2","Время играть!"
SECTION-CHAT,
"plastered","наконец-то получил свою третью телефонную линию"
"plastered","теперь я буду двигаться на тройной скорости"
"NthDimension","вау чувак"
"NthDimension","это преданность"
"NthDimension","ты не волнуешься, это выглядит подозрительно"
"plastered","я сказал им, что это по делу"
"plastered","им все равно, если я скажу, что я телемаркетер"
"deadlock","хаха вау"
"deadlock","так что звонить по тысячам номеров, чтобы продать {дерьмо}, это нормально"
"deadlock","но не звоню, чтобы изучить систему"
"plastered","ага"
"plastered","вот как это происходит"
