SECTION-PRE,
"EMBER-2","Думаете, консольная версия будет соответствовать классической аркадной игре?"
"Moss","Полностью."
,"Сомневаюсь..."
,"Это аркадная игра?"
"EMBER-2","Не нужно идти на компромисс..."
,"Да, есть ощущение, которое теряется."
,"Это в Японии."
"EMBER-2","Получите полноценные впечатления прямо у себя в гостиной!"
,"Во всяком случае, это то, что я читал."
,"Вы не видели, какие у них классные шкафы?"
"EMBER-2","Я знал, что изучение этого корпуса игровых журналов мне пригодится."
SECTION-POST,
"EMBER-2","Хм."
"EMBER-2","Эта игра вообще не о хакерстве, не так ли?"
"EMBER-2","Они взяли на себя большую драматическую лицензию."
"Moss","Они действительно это сделали."
,"Это не является чем-то необычным для игр."
,"Я не знаю, как можно сделать игру о реальном хакерстве."
"EMBER-2","Наверное, это к лучшему."
,"Но если игра слишком абстрактна, она может потерять свой первоначальный смысл."
,"Хакерство по своей сути означает манипулирование системами способами, которые дизайнеры не планировали..."
"EMBER-2","Гораздо большему количеству людей понравится такая игра, в отличие от игры, которая фактически потребует от вас составления программ..."
,"Вы когда-нибудь задумывались о том, о чем этот пасьянс?"
,"Тогда как игра обычно представляет собой набор возможностей в принятых рамках."
"EMBER-2","Вы можете себе представить?"
,"Там есть сообщение."
,"Кажется, примириться сложно."
