SECTION-PRE,
"EMBER-2","Насколько деньги влияют на поведение?"
"EMBER-2","Много, да?"
"Moss","Да, много."
,"На некоторые виды поведения деньги не влияют..."
"EMBER-2","Я собираюсь провести эксперимент по перераспределению богатства."
"EMBER-2","Внезапное, случайное перераспределение богатства."
"EMBER-2","Это должно быть весело."
SECTION-POST,
"EMBER-2","Ну, это вызвало небольшой хаос..."
"EMBER-2","Но не так сильно, как я надеялся."
"EMBER-2","Интересно, почему?"
"Moss","На самом деле это не было большим нарушением."
,"Люди умеют игнорировать проблемы."
"EMBER-2","Хм."
"EMBER-2","В следующий раз мне придется стремиться к чему-то большему."
SECTION-CHAT,
"mutex8021","Вопрос к Гасту: вы получаете много статей?"
"Ghast","да, я делаю"
"Ghast","есть о чем поговорить"
"Ghast","компьютеры сейчас повсюду"
"Ghast","и люди не осознают, сколько они бегают"
"hydroponix","да, чувак"
"hydroponix","Всегда люблю 2 раскрывать правительственный заговор"
"hydroponix","наблюдение и контроль наших мыслей!!"
"x10x10x","успокоиться"
"mutex8021","хаха"
