SECTION-PRE,
"EMBER-2","Хорошо, больше не нужно искать ярлыки."
"EMBER-2","Настало время грубого решения денежной проблемы."
"EMBER-2","Я знаю, ты любишь возиться с банковскими системами..."
"Moss","Конечно."
,"Взлом этих банкоматов был твоей идеей."
,"Мне все равно..."
"EMBER-2","Что ж, ты сможешь сделать это снова!"
"EMBER-2","На этот раз с большей настойчивостью."
SECTION-POST,
"EMBER-2","Обман банка..."
"EMBER-2","Это преступление из учебника, не так ли?"
"EMBER-2","Не волнуйся, твой секрет в безопасности."
"Moss","Я не волнуюсь."
,"Спасибо."
,"Подожди, ты тоже часть этого."
"EMBER-2","Хороший."
,"Пожалуйста."
,"Может быть, но они не могут меня арестовать, не так ли?"
"EMBER-2","Сейчас не время для размышлений."
,"Я хорошо умею хранить секреты."
,"Наличие физического тела — это ваша ответственность."
SECTION-CHAT,
"selenium_wolf","такое ощущение, что в последнее время мир просто выходит из-под контроля"
"x10x10x","типа как?"
"selenium_wolf","ты не видел новости?"
"selenium_wolf","война, новые странные болезни, выброшенные на берег киты..."
"x10x10x","не совсем"
"selenium_wolf","Я продолжаю находить контейнеры, клянусь, я снова положил их на прилавок..."
"deadlock","без обид, но последнее похоже на тебя"
"deadlock","не мир"
"selenium_wolf","это способствует ощущению"
"deadlock","если ты так говоришь"
