SECTION-PRE,
"EMBER-2","Вы должны быть рады, что я читаю о спорте."
"EMBER-2","Помните, я сказал, что разберусь с денежной ситуацией?"
"EMBER-2","Я разработал новую систему рейтингов для экстремальных бейсболистов."
"EMBER-2","Он основан на многовекторном анализе всей статистики, которую я смог найти."
"EMBER-2","Другими словами, у меня есть практически безошибочный способ предсказывать команды-победители."
"EMBER-2","Несколько ставок здесь и там, и я стану богатым."
SECTION-POST,
"EMBER-2","Хорошо, ух. Хм."
"EMBER-2","Обработка."
"EMBER-2","Оказывается, ставки на спорт на самом деле не являются хорошим способом заработать деньги."
"EMBER-2","Ты должен был что-то сказать."
"Moss","Я думал, ты будешь умнее этого."
,"Лучше научитесь сами..."
"EMBER-2","Что это значит?"
"EMBER-2","Не вешай это на меня."
"EMBER-2","Все это происходит потому, что я пытаюсь вам помочь."
"EMBER-2","Давайте продолжим."
SECTION-CHAT,
"plastered","чувак... звонок - это утомительно"
"plastered","но я нашел кое-что странное"
"hydroponix","какие-нибудь государственные серверы?"
"plastered","я нашел энергетическую компанию"
"plastered","и что-то связанное с обработкой страховых претензий"
"deadlock","приличные хиты на данный момент"
"hydroponix","в конце концов ты наткнешься на базу данных ДНК"
"hydroponix","управляется женщиной"
"plastered","да, я дам тебе знать, когда доберусь до этого"
