SECTION-PRE,
"EMBER-2","Настало время следующего противника."
"EMBER-2","Вы готовы?"
"Moss","Полностью."
,"Готов как никогда..."
,"Что, ты теперь мой тренер?"
"EMBER-2","Уверенность..."
,"Я уверен, что ты сможешь это сделать."
,"Было бы это плохо?"
"EMBER-2","Интересно, коррелирует ли это с успехом?"
,"Для вас есть еще одно положительное подтверждение."
,"Книга об экстремальном бейсболе, которую вы мне нашли, была полна интересной информации."
"EMBER-2","Думаю, я узнаю."
,"Моя работа здесь закончена."
,"Давай, чемпион, выходи и побеждай."
SECTION-POST,
"EMBER-2","Вам это нравится? Победа?"
"Moss","Конечно."
,"В каком-то смысле..."
,"Не особенно."
"EMBER-2","Конечно."
,"Я уверен, что это приятно."
,"Почему нет?"
"EMBER-2","Так устроен человеческий мозг, не так ли?"
"EMBER-2","Нравиться побеждать. Чтобы ты всегда старался победить."
"EMBER-2","Это очень простой дизайн."
"EMBER-2","Каждый раз, когда я начинаю дискредитировать себя за слишком простоту, я думаю о человеческом мозге и чувствую себя немного лучше."
SECTION-CHAT,
"plastered","ой"
"x10x10x","кто учился!!!"
"plastered","ок, я думаю, это настоящий мох"
"x10x10x","ха"
"x10x10x","это наверное просто кто-то называет себя Моссом"
"selenium_wolf","ты не веришь Гасту?"
"x10x10x","мы не знаем, тот же ли это мох"
"Ghast","почему бы нам тогда не продолжить турнир?"
"Ghast","кажется, лучший способ это выяснить."
