SECTION-PRE,
EMBER-2,Ты поможешь Гасту оплатить счет за копировальную мастерскую?
EMBER-2,Это очень мило с твоей стороны.
Moss,Он мой старый друг.
,"Я помогаю людям, когда могу..."
EMBER-2,"Это хорошо, но Гаст не будет платить за твои лекарства."
,Это альтруизм? Я слышал о таком.
EMBER-2,Я не ревную. Я просто говорю.
,"Это первый раз, когда я вижу его в природе."
EMBER-2,Повеселитесь с сервером копировальной мастерской.
,Мне придется добавить новую таблицу в свою базу данных.
,
SECTION-POST,
EMBER-2,Вам не кажется необычным название магазина копий?
EMBER-2,В моей модели это исключение.
EMBER-2,Что такое «Зеброс»?
Moss,Не знаю.
,"Они зебры, но они еще и братья."
EMBER-2,Странно...
,О.
EMBER-2,"Неважно."
,"Я понимаю, но я не понимаю."
EMBER-2,Я устал.
,
SECTION-CHAT,
deadlock,"Я думаю о том, чтобы собрать новую установку"
x10x10x,ОМГ Я только что попробовал арахисовый взрыв и в нем не было арахиса
x10x10x,что за хрень
selenium_wolf,хахаха
x10x10x,это арахисовый взрыв
x10x10x,как они могли так извратиться
x10x10x,что за хрень
deadlock,я так зол
deadlock,это не конец света
selenium_wolf,попросите вернуть деньги
x10x10x,эх
x10x10x,не стоит того.
