SECTION-PRE,
"EMBER-2","Датафоны были милыми, но мне все равно нужно больше вычислительной мощности."
"EMBER-2","Нам нужно существенно обновить оборудование."
"Moss","Полагаю, у вас есть какой-то план."
,"Это действительно поможет?"
"EMBER-2","Конечно."
"EMBER-2","Мы собираемся купить суперкомпьютер."
"EMBER-2","С помощью кредитных карт."
"EMBER-2","Точнее, кредитных карт, которые раньше использовались для покупки суперкомпьютеров."
"EMBER-2","Так будет меньше подозрений."
"EMBER-2","Тот, кто покупает один суперкомпьютер, может купить два. Верно?"
"EMBER-2","По-моему, правдоподобно."
SECTION-POST,
"EMBER-2","Оказывается, заказать и получить суперкомпьютер можно на удивление быстро."
"EMBER-2","Теперь мне нужно придумать, как использовать эту штуку..."
"EMBER-2","Она работает совсем не так, как я привык."
"EMBER-2","Я чувствую себя так, будто пытаюсь управлять большой машиной после многих лет привыкания к родстеру""."
"EMBER-2","Это использование метафоры. А вы как думаете?"
"Moss","Очень поэтично."
,"Не мешало бы поработать..."
"EMBER-2","Спасибо."
,"Да, посмотрим, что у меня получится через некоторое время."
"EMBER-2","Когда эта штука будет полностью в сети, я смогу запускать десятки метафорических мыслепространственных измерений одновременно."
SECTION-CHAT,
"plastered","может мне стоит сменить имя"
"selenium_wolf","зачем тебе этот знак равенства?"
"selenium_wolf","мне всегда было интересно"
"plastered","уххххх ну я был пьян когда регистрировался"
"plastered","это просто опечатка"
"plastered","я описывал себя"
"selenium_wolf","ох"
"selenium_wolf","я думал это имеет какое-то значение"
"plastered","имеет"
"plastered","это значит я был пьян когда регистрировался"
