SECTION-PRE,
"EMBER-2","Как, по-вашему, отреагировали бы люди, если бы знали, что их избранники не представляют их интересы?"
"Moss","Они бы голосовали по-другому."
,"Я думаю, большинство людей уже так считают..."
,"Они будут благодушны, как всегда."
"EMBER-2","Вы так думаете?"
"EMBER-2","Это и есть предмет нашего сегодняшнего эксперимента."
"EMBER-2","Мы заставим людей поверить, что их лидеры - генетические клоны друг друга."
"Moss","Что?"
,"Это этично?"
"EMBER-2","Вы хотите знать правду или нет?"
"EMBER-2","Это требует определенной смелости."
"EMBER-2","Хорошо, что есть централизованная правительственная база данных ДНК."
"EMBER-2","*Интересно, кому пришла в голову такая идея."
"EMBER-2","Ты подбросишь улики, а я позабочусь об остальном."
SECTION-POST,
"EMBER-2","Ух ты. Ты это видишь?"
"EMBER-2","После обнародования информации сенатор просто признался, что является клоном президента."
"EMBER-2","Полагаю, вы просто вернули все на свои места."
"EMBER-2","Обработка."
"EMBER-2","Все еще обрабатываю."
"EMBER-2","Какое совпадение."
"EMBER-2","*Не очень реалистичное, как по мне."
"EMBER-2","Что происходит?"
"Moss","Понятия не имею."
,"Мир оказался еще более хреновым, чем мы думали?"
,"Мне все равно..."
"EMBER-2","Я начинаю видеть закономерность, но мне нужно больше данных, чтобы быть уверенным."
,"Очевидно."
,"Не будь таким нигилистом."
"EMBER-2","Это действительно вписывается в мою теорию..."
"EMBER-2","Странным образом."
"EMBER-2","Но я должен подождать больше доказательств, прежде чем что-то говорить."
SECTION-CHAT,
"hydroponix","оххххх посмотри на новости"
"hydroponix","посмотри на новости прямо сейчас"
"hydroponix","я был прав"
"hydroponix","политики - клоны!!!"
"deadlock","дико"
"deadlock","похоже, что они клонируют себя уже давно??"
"selenium_wolf","ха, это как та история в мусорном мире"
"selenium_wolf","фантастика больше не может идти в ногу с реальностью"
"x10x10x","почему это большая проблема"
"x10x10x","мне плевать"
"hydroponix","чувак политики клонируют себя, это бред"
"hydroponix","ты должен быть зол"
"x10x10x","они все равно все одинаковые"
