SECTION-PRE,
"EMBER-2","Еще проблемы с фагами, да?"
"EMBER-2","Ходят слухи, что фаг изначально был получен из исследовательской лаборатории..."
"EMBER-2","Эксперимент по созданию человеко-машинного интерфейса, который нашел применение в дикой природе."
"Moss","Мне кажется, я где-то это читал."
,"Звучит как обычная теория заговора..."
,"Можем ли мы поговорить об этом после того, как я поправлю глаз?"
"EMBER-2","Это интересно, не так ли?"
,"О, нет."
,"Это просто смешно..."
"EMBER-2","Я помню некоторые из этих исследований."
"EMBER-2","Это происходило прямо по соседству с нами."
,
SECTION-POST,
"EMBER-2","Надеюсь, это последний раз, когда вам придется так себя хакнуть."
"Moss","Я надеюсь, что это так."
,"Почему ты так говоришь?"
,"Прежде чем я умру?"
"EMBER-2","Возможно, вы найдете решение этой проблемы."
,"Нет причин, я просто надеюсь, что тебе не придется делать это снова."
,"Я не это имел в виду."
"EMBER-2","Какой-то способ избежать необходимости время от времени физически приходить и поправлять себя..."
,"Это неудобство, не так ли?"
,"Я просто подумал, было бы неплохо, если бы тебе не приходилось постоянно ремонтировать себя."
"EMBER-2","Интересно, что это повлечет за собой?"
,"Так что было бы хорошо, если бы это не было проблемой..."
,"Тебе не кажется, что это было бы облегчением?"
"EMBER-2","Есть о чем подумать."
,"Вот и все."
,"Физические тела могут доставлять столько хлопот."
,
SECTION-CHAT,
"SYSTEM","* nivas_d подключился к EXAPUNKS"
ACTION-SHOW-NIVAS,
"nivas_d","привет"
"deadlock","йоу"
"SYSTEM","mutex8021 машет рукой nivas_d"
"nivas_d","так ммм, я новичок в этом"
"nivas_d","пытался научить себя"
"deadlock","ну ты в правильном месте"
"nivas_d","я, наверное, немного подожду"
"deadlock","имеет смысл"
"selenium_wolf","мы все здесь более или менее дружелюбны"
"deadlock","кроме х10"
"x10x10x","эй, {иди на хуй} ты"
"deadlock","идеальный"
