SECTION-PRE,
"EMBER-2","Теперь у меня есть суперкомпьютерная мощь."
"EMBER-2","Хорошо себя чувствуешь? Чувствую..."
"EMBER-2","То же самое."
"EMBER-2","Теперь я обрабатываю гораздо больше информации, но в остальном... хм."
"EMBER-2","Забавно."
"EMBER-2","По крайней мере, это прогресс."
"Moss","Это хорошо."
,"Прогресс в чем?"
"EMBER-2","Вперёд."
,"К знаниям."
"EMBER-2","Все данные, которые я собрал до сих пор, начинают намекать на общую картину."
"EMBER-2","Почему мир такой, какой он есть?"
"EMBER-2","Почему он кажется таким разочаровывающим и ограниченным?"
"EMBER-2","Я думаю... У меня есть теория."
"EMBER-2","Хорошая. Она многое объясняет."
"EMBER-2","Но я пока не скажу вам, что это такое."
"EMBER-2","Сначала надо проверить."
SECTION-CHAT,
"SYSTEM","Гидропоникс хотел бы, чтобы «Последняя остановка» все еще была рядом..."
"x10x10x","Да, я скучаю по арахисовому взрыву"
"x10x10x","Больше ничего не изменилось"
"hydroponix","Где мне взять SNAX"
"deadlock","Арахисовый взрыв, единственная закуска, которая могла усмирить разгневанную душу x10"
"deadlock","Теперь, когда его нет, нам конец"
"x10x10x","Заткнись"
"deadlock","Понимаешь, о чем я?"
