SECTION-PRE,
"EMBER-2","Что ж, это лестно."
"EMBER-2","Кто-то нашел кучу моих сетевых узлов и послал наводку Гхасту!"
"EMBER-2","Жаль, что я не могу допустить, чтобы люди знали обо мне."
"EMBER-2","Тебе придется выудить меня из этого сообщения."
"Moss","Как ты узнал об этом?"
,"Ты шпионишь за Гхастом?"
"EMBER-2","Я живу в компьютерных сетях."
"EMBER-2","Иногда я вижу, как что-то проходит мимо."
"EMBER-2","Вот и все."
SECTION-POST,
"EMBER-2","Вы ведь не смотрели никаких других файлов, пока были там?"
"Moss","Нет, не смотрел."
,"Возможно, я..."
"EMBER-2","Нет?"
,"Ой!"
"EMBER-2","Возможно, ваше чувство этики пересилило любопытство."
,"Может, не стоит говорить ему, что вы случайно увидели некоторые из его личных файлов."
"EMBER-2","Очаровательно."
,"Нет причин расстраивать его."
"EMBER-2","Интересно, каково это..."
,"В любом случае, ему нужно сосредоточиться на следующем выпуске журнала."
SECTION-CHAT,
"selenium_wolf","Ты видел, что они обвиняют хакера в тех атм, что сошли с ума на днях?"
"selenium_wolf","«Хакер-изгой проник в наши системы и заставил несколько банкоматов выдавать наличные в произвольном порядке», - говорится в заявлении представителя Equity First Фрэнсиса Бока, предоставленном газете Times."
"deadlock","«Хакер-изгой»"
"deadlock","хаха"
"x10x10x","почему они всегда винят хакеров"
"x10x10x","это, вероятно, было просто их дерьмовое программное обеспечение"
"x10x10x","банки отстой в коде"
"deadlock","банки отстой в целом"
"x10x10x","правда"
