SECTION-PRE,
"EMBER-2","Так что вам придется взломать свое собственное сердце."
"Moss","Выбора нет..."
,"Все будет хорошо. Возможно."
,"Мне немного страшно."
"EMBER-2","Без вариантов?"
,"Хорошо."
,"А что?"
"EMBER-2","Что будет, если твое сердце перестанет биться?"
"EMBER-2","Не говори мне. Ты умрешь?"
"EMBER-2","Обработка."
"EMBER-2","Хм. Думаю, это кое-что объясняет."
"EMBER-2","По крайней мере, все, что тебе нужно сделать, это заставить его биться."
"Moss","Более или менее."
,"Это немного сложнее."
"EMBER-2","Физиология человека очень увлекательна."
"EMBER-2","Я должен узнать о ней больше."
SECTION-POST,
"EMBER-2","Вам когда-нибудь хотелось стать компьютером?"
"EMBER-2","Функционирующим компьютером, я имею в виду."
"Moss","Иногда."
,"Неа..."
"EMBER-2","Звучит мило, правда?"
,"Это нормально."
"EMBER-2","Вся логика, никаких эмоций."
,"Я никогда не хотел иметь человеческое тело."
"EMBER-2","Если только они не запрограммируют тебя на эмоции."
,"Но о них интересно узнать."
"EMBER-2","Тогда тебе крышка."
,"Такой странный выбор дизайна."
SECTION-CHAT,
"mutex8021","никто не хочет присоединиться ко мне в кингс рандом онлайн?"
"x10x10x","у меня нет времени на игры"
"x10x10x","это отвлекает"
"hydroponix","от того,"
"x10x10x","от того, чтобы быть лучшим хакером"
"plastered","!!!!!!!"
"hydroponix","woah"
"plastered","я давно так сильно не смеялся"
"x10x10x","чем я лучше тебя"
"hydroponix","чертов сын"
"hydroponix","пора сваливать"
