SECTION-PRE,
EMBER-2,Стали бы вы менять свое поведение в ответ на раздражители?
EMBER-2,"Конечно, изменили бы. Позвольте мне уточнить."
EMBER-2,"Могут ли лозунги, напечатанные на вывесках и плакатах в вашем окружении, повлиять на ваше мировоззрение?"
Moss,Возможно.
,Какие именно лозунги?
,Сомневаюсь.
EMBER-2,Хорошо.
,"Что-то о том, как бросить вызов предвзятым мнениям."
,Правда?
EMBER-2,Я хочу кое-что проверить.
,У меня есть подборка. Вы увидите.
,Давайте узнаем.
,
SECTION-POST,
EMBER-2,Превосходно. Это был отличный тест.
EMBER-2,"Теперь мне осталось получить данные, разделить несколько экспериментальных условий и выделить..."
EMBER-2,Обработку.
EMBER-2,Обработка...
EMBER-2,"Ладно. Я понятия не имею, что делать с этими данными."
EMBER-2,"Если вы заметите больше людей, сомневающихся в авторитете, дайте мне знать."
,
SECTION-CHAT,
NthDimension,"Хотел бы я быть достаточно взрослым, чтобы пойти в haxtasy..."
x10x10x,haxtasy отстой
plastered,что
plastered,haxtasy это круто
plastered,ты ненавидишь все x10
mutex8021,что это
plastered,это клуб для хакеров
plastered,"пицца, напитки, телефонные джеки за каждым столом"
plastered,это мило
NthDimension,хотел бы я быть старше
NthDimension,ох ну
NthDimension,мне нужно сначала научиться кататься на роликах в любом случае
