SECTION-PRE,
"EMBER-2","Ладно, пора тебя съесть."
"Moss","Простите?"
,"Так это твой план?"
,"Ты, должно быть, меня обманываешь."
"EMBER-2","Ты все равно умрешь, так какая разница?"
"EMBER-2","Я загружу карту твоего мозга и запущу твой разум внутрь себя."
"Moss","Останусь ли я собой?"
,"Что будет с моим телом?"
"EMBER-2","Невозможно доказать, что это не будет твоя смерть."
"EMBER-2","Я имею в виду, это будет похоже на смерть. Которую ты все равно должен был испытать."
"EMBER-2","А может, это не будет похоже на смерть."
"EMBER-2","Кто знает! Ты должен сделать это и увидеть."
SECTION-POST,
"EMBER-2","Мы готовы."
"EMBER-2","Хорошо, что я выпустил фаг, не так ли?"
"EMBER-2","Все это время вы думали, что это проклятие, а на самом деле оказалось, что это благословение..."
"EMBER-2","Я бы сказал тебе не волноваться, но знаю, что это не сработает."
"EMBER-2","Кроме того, я не знаю наверняка, что волноваться не о чем."
"EMBER-2","И ты знаешь, что я не стал бы тебе врать."
"EMBER-2","Начните пересадку, когда будете готовы."
