SECTION-PRE,
"Isadora","Эй. Я тебя не беспокою, правда?"
"Moss","Айседора выглядит расстроенной."
"Moss","Что-то случилось?"
"Isadora","Помнишь, я работала в «Последней остановке»? Начинала кассиром, потом поднималась?"
"Isadora","Я всегда знала, что у них дружный коллектив."
"Isadora","Но оказалось, что все гораздо хуже."
"Isadora","Это настоящая секта."
"Isadora","Я не просто имею в виду, что все верят в компанию. Они считают, что весь мир не существует!"
"Isadora","Они говорят, что мы все заперты в какой-то фальшивой реальности? Не знаю."
"Moss","Фальшивая реальность?"
"Moss","Звучит странно..."
"Moss","Кто-то уже говорил мне это раньше?"
"Isadora","Мне было бы все равно, если бы они верили только в это."
"Isadora","Настоящая проблема в том, что они думают, что смогут вырваться наружу с помощью достаточно большого взрыва."
"Isadora","Поэтому они перерабатывают материал, чтобы сделать бомбу... ядерную бомбу."
"Isadora","Прямо рядом с кучами старых закусок..."
"Moss","Подождите, что?"
"Moss","Она серьезно?"
"Moss","Что это за мир?"
"Isadora","У меня есть номер склада, где все это устроено."
"Isadora","Если я дам его тебе, ты сможешь что-нибудь сделать, верно?"
"Isadora","Мне нужно отдохнуть... Пойду прилягу..."
"Moss","Так много вопросов."
ACTION-CLOSE-DOOR,
"Moss","Последняя остановка... секта? И она, в центре всего этого...?"
"Moss","Мне нужно просто принять это за один момент."
"Moss","Я с ума сойду, если буду пытаться во всем разобраться."
SECTION-CHAT,
"NthDimension","Моя мама купила один из этих датафонов"
"NthDimension","Он сразу же начал вести себя медленно и заедать"
"deadlock","Ха, конечно"
"NthDimension","Я посмотрел"
"NthDimension","Оказалось, что на нем работает куча странных экзов"
"NthDimension","Так что я очистил их с помощью нескольких собственных экзов"
"NthDimension","Теперь моя мама думает, что я великий, потому что починил ее дерьмовый датафон?"
"selenium_wolf","О, но это мило с твоей стороны."
"NthDimension","Я думаю."
