SECTION-PRE,
"EMBER-2","Сначала это была твоя рука... теперь это твоя рука."
"Moss","Да, становится плохо..."
,"Что? Я в порядке."
"EMBER-2","Я это вижу."
,"Не пытайтесь делать вид, что все в порядке."
"EMBER-2","К счастью, похоже, что вы можете легко получить доступ к узлам, связанным с срединным нервом."
"EMBER-2","Вам просто нужно будет сделать небольшой разрез на вентральной части предплечья."
"EMBER-2","Однако лучше следить за этой артерией."
"Moss","Хорошо."
,"Если ты так говоришь."
,"Фу."
"EMBER-2","Похоже, ты к этому привыкаешь."
"EMBER-2","Это хорошо. Нечего придираться."
SECTION-POST,
"EMBER-2","Вы когда-нибудь чувствовали, что это проигранная битва?"
"EMBER-2","Это постоянные усилия по поддержанию своего физического тела."
"Moss","Все время."
,"Я стараюсь оставаться в настоящем моменте."
,"В конечном итоге все проигрывают."
"EMBER-2","Жаль, что детали вашего компьютера настолько бесполезны..."
,"Решение не думать о чем-то – это хороший метод."
,"Интересно, я такой же?"
"EMBER-2","Иначе ты можешь стать таким, как я."
,"Возможно, есть несколько вещей, которые я мог бы оптимизировать таким же образом."
,"Только время покажет."
SECTION-CHAT,
"selenium_wolf","fgfgkkkgkfgkgfjfg"
"selenium_wolf","почему эта чертова песня «не могу тебя забыть» ВСЕГДА НА РАДИО"
"selenium_wolf","ЭТО ТАК ПЛОХО"
"selenium_wolf","Я ненавижу это"
"hydroponix","музыкальная индустрия коррумпирована на 100%"
"hydroponix","звукозаписывающие компании подкупают радиостанции, чтобы они играли песню, которую они продвигают"
"hydroponix","это называется пайола"
"deadlock","тьфу, какая куча {дерьма}"
"selenium_wolf","это действительно мусорный мир"
"hydroponix","МУСОРНЫЙ МИР"
