SECTION-PRE,
"EMBER-2","Время для исследований."
"EMBER-2","Физиология человека, человеческая мораль..."
"Moss","Твои обычные темы."
,"Просто скажи мне, что делать."
"EMBER-2","Да, наверное."
,"Тебя не волнует, что я изучаю?"
"EMBER-2","Подожди. Я действительно настолько предсказуем?"
,"Все это относится и к тебе."
"EMBER-2","Скоро мне придется все изменить."
,"Твое выживание зависит от моего образования."
"EMBER-2","Давай возьмем эти книги."
SECTION-POST,
"EMBER-2","Обработка."
"EMBER-2","Да, это то, что я хотел."
"Moss","Рад, что это помогает."
,"Ты уже все прочитал?"
"EMBER-2","Я люблю проглатывать хорошие книги..."
,"Может быть."
"EMBER-2","Не то чтобы я только этим и занимался."
,"Это странно?"
"EMBER-2","Я читаю так же, как любой нормальный человек."
"EMBER-2","Анализируя паттерны повторения слов и выводя корреляции между понятиями, подразумеваемыми в статистически значимых кластерах слов."
SECTION-CHAT,
"hydroponix","я голоден................."
"hydroponix","какие есть хорошие закуски"
"selenium_wolf","я слышал x10 любит арахисовый взрыв"
"plastered","хаха"
"x10x10x","до сих пор не могу поверить, что они это придумали"
"selenium_wolf","я бы попробовал одну"
"selenium_wolf","но у них нет Last Stop out где я"
"plastered","вау ты должно быть далеко в буни"
"selenium_wolf","что-то вроде этого"
