SECTION-PRE,
"EMBER-2","Знаете ли вы, что люди платят реальные деньги за предметы в онлайн-играх?"
"Moss","Да, это довольно распространенное явление."
,"Реальные деньги за виртуальные предметы?"
,"Неудачники..."
"EMBER-2","Очевидно, что это процветающий бизнес."
"EMBER-2","Некоторые игроки даже зарабатывают таким образом на жизнь."
"EMBER-2","Обычно для этого требуется много мастерства и упорства."
"EMBER-2","Но если бы кто-то смог изменить право собственности на эти цифровые объекты..."
"EMBER-2","Теоретически этот человек может стать очень богатым в одночасье."
"EMBER-2","Я, конечно, не предлагаю вам сделать это."
"EMBER-2","Но я предлагаю вам попробовать."
,
SECTION-POST,
"EMBER-2","О. Они просто закрыли всю игру."
"EMBER-2","Что-то насчет «хакеров» или что-то в этом роде?"
"EMBER-2","Полагаю, это значит ты."
"EMBER-2","Люди воспринимают это так серьезно."
"Moss","Игры - это серьезный бизнес."
,"Это реальные деньги..."
,"Их потеря."
"EMBER-2","Люди ведут себя так, будто в онлайне все по-другому, но на самом деле это не так."
"EMBER-2","По крайней мере, в том, что касается человеческого поведения."
,
SECTION-CHAT,
"mutex8021","ohhhhh {shit}"
"hydroponix","what"
"mutex8021","my guilds castle was stolen"
"mutex8021","i was suddenly booted"
"mutex8021","now its not ours????"
"mutex8021",":("
"selenium_wolf","похоже, что его взломали"
"deadlock","это было бы очень плохо..."
"selenium_wolf","разработчики игр, хотя"
"selenium_wolf","они пишут одни из самых небезопасных программ"
"mutex8021",":( :( :( :("
