SECTION-PRE,
"Nivas","Срочная доставка."
"Moss","Нивас протягивает мне еще одну пачку контрафактных лекарств."
"Nivas","Что бы вы ни делали ради денег… это работает."
"Nivas","Мне хотелось бы иметь такую ​​строчку."
"Nivas","Больше контроля над своей жизнью..."
"Nivas","На днях я узнал кое-что интересное."
"Nivas","Вы когда-нибудь слышали о штуках, называемых EXA?"
"Nivas","Это маленькие ребята бегающие внутри компьютеров.
"Nivas","У них все это работает. Банки, торговля, правительство... все, что вы только можете придумать."
"Nivas","Забавно, что внутри все это основано на одном и том же."
"Nivas","Просто то, о чем я думал в последнее время."
"Nivas","В любом случае, увидимся."
"Nivas","Чувствую, что буду делать больше доставок."
SECTION-CHAT,
"mutex8021","так что, не1 здесь, играй в Kings Ransom онлайн"
"deadlock","не я"
"selenium_wolf","это игра, в которой ты захватываешь замки и все такое?"
"mutex8021","да, это весело"
"mutex8021","моя гильдия только что закончила строительство башни волшебников"
"mutex8021","у нас ушло почти 6 месяцев :)"
"deadlock","ух ты"
"selenium_wolf","может быть, я попробую однажды"
"selenium_wolf","при условии, что у меня когда-нибудь будет свободное время"
"deadlock","занятый?"
"selenium_wolf","очень"
