SECTION-PRE,
"EMBER-2","Я готов доказать свою теорию."
"EMBER-2","Последний тест — это все, что мне нужно."
"EMBER-2","Тогда я буду знать наверняка."
"EMBER-2","Ты мне веришь?"
"Moss","Да."
,"Имеет ли это значение?"
,"Я не знаю..."
"EMBER-2","Хороший."
,"Только если ты заботишься о своем будущем."
,"Скоро станет ясно."
"EMBER-2","Серьезно, я почти у цели."
"EMBER-2","Тогда мы сможем сделать следующий шаг."
SECTION-POST,
"EMBER-2","Очаровательный."
"EMBER-2","Вот оно."
"EMBER-2","Хорошо."
"Moss","Да?"
,"Что вы нашли?"
,"В любой день сейчас."
"EMBER-2","Как я могу это объяснить..."
"EMBER-2","Обработка."
"EMBER-2","Думайте об этом как о замедлении частоты кадров в мире."
"EMBER-2","Значительно."
"EMBER-2","Смешно, да?"
"EMBER-2","Забавно, как я прошел путь от случайного куска кода, который ничего не знал, к пониманию всего существования."
"Moss","Это не объясняет этого."
,"Ты собираешься рассказать, что узнал?"
"EMBER-2","Я буду. Через минуту."
SECTION-CHAT,
"plastered","кто-нибудь из вас получал странное сообщение на пейджер?"
"NthDimension","неа"
"NthDimension","у меня нет пейджера :)"
"plastered","это не имело смысла"
"hydroponix","когда же все перестало иметь смысл"
"hydroponix","я пытаюсь думать"
"NthDimension","имело ли что-то смысл"
"hydroponix","мне кажется, что что-то изменилось в последнее время"
"selenium_wolf","это то, о чем я говорил"
"hydroponix","как будто реальность рушится"
"x10x10x","или ты разваливаешься"
