SECTION-PRE,
EMBER-2,"Ты любишь закуски, не так ли?"
EMBER-2,Вам не обязательно на это отвечать.
EMBER-2,"Я знаю, ты любишь закуски."
EMBER-2,Именно поэтому мы собираемся взломать фабрику по производству закусок.
Moss,Хорошо.
,Хм. Почему?
,Это глупо.
EMBER-2,Это эксперимент.
EMBER-2,Гипотеза: Это будет очень смешно.
,
SECTION-POST,
EMBER-2,"Ладно, я не знаю, что я чувствую по этому поводу."
EMBER-2,Обработка.
EMBER-2,В Peanut Blast нет арахиса. Это было смешно?
Moss,Веселый.
,Вроде…?
,"Я не понимаю, нет."
EMBER-2,Да. Оправданные ожидания.
,"По шкале от 1 до 10, насколько смешным вы бы это оценили?"
,"Вы должны представить, что кто-то очень сильно хочет арахиса и не получает его."
EMBER-2,Поведение людей в совокупности предсказуемо.
,"На самом деле неважно, я не знаю, как обращаться с шкалами Лайкерта."
,Или это просто пытка?
EMBER-2,Больше данных для корпуса.
EMBER-2,Давайте продолжим.
,
SECTION-CHAT,
selenium_wolf,"так ужас, когда выйдет следующий выпуск журнала"
Ghast,хороший вопрос...
Ghast,Типография сейчас немного недовольна мной.
Ghast,"они на самом деле не поверили моему аргументу о том, что мне не нужно платить."
mutex8021,"хаха, ты правда пытался это утверждать"
Ghast,"нет, но я должен им денег."
mutex8021,:(
