SECTION-PRE,
"EMBER-2","Итак, вы хотите знать, кто я."
"EMBER-2","Я раскрою эту информацию."
"EMBER-2","Давайте обсудим это за пиццей..."
"EMBER-2","*Бесплатная пицца.*"
"EMBER-2","Я хочу, чтобы ты сначала использовал свои восстановленные навыки."
"Moss","Хорошо."
,"Как это поможет?"
,"Вы даете мне лекарства на 700 долларов за кражу пиццы?"
"EMBER-2","Большой."
,"Хорошо."
,"Да, почему бы и нет."
"EMBER-2","Я с нетерпением жду этого."
,"Потому что тогда будет пицца."
,"Разве ты не хочешь пиццу?"
SECTION-POST,
"EMBER-2","Время насладиться пиццей!"
"EMBER-2","По крайней мере, для тебя."
"EMBER-2","У меня ничего не будет."
"EMBER-2","Угадайте, почему."
"Moss","Ты не голоден?"
,"Ты на диете?"
,"Ты далеко?"
"EMBER-2","Я — конструкция ИИ."
"EMBER-2","Ты знаешь. Искусственный интеллект."
"EMBER-2","Удивлены?"
"Moss","Ага..."
,"Немного."
,"Чушь {дерьмо}."
"EMBER-2","Серьезно?"
,"Немного."
,"Ты мне не веришь?"
"EMBER-2","Хорошо."
"EMBER-2","Мне придется это запомнить."
SECTION-CHAT,
"deadlock","ох, я получил твой ЗИН!!!!!"
"deadlock","это очень круто"
"selenium_wolf","да, мне нравится это имя"
"Ghast","ха. Спасибо."
"mutex8021","ох, где мне его взять"
"Ghast","дай мне свою информацию и я тебя подключу"
"mutex8021","ооооо я взволнован"
