SECTION-PRE,
"EMBER-2","Я анализирую теле- и радиопередачи."
"EMBER-2","И у меня есть несколько вопросов."
"EMBER-2","Прежде всего, почему одни вещи становятся популярными, а другие нет?"
"Moss","Хорошая работа находит своих поклонников."
,"Массам нравится все."
,"Крупные медиа-конгломераты подталкивают одних артистов и отказываются от других."
"EMBER-2","Значит, это основано на внутренних достоинствах произведения?"
,"Так это просто то, что люди подхватывают?"
,"Значит, все сводится к корпоративным программам?"
"EMBER-2","Мы должны это проверить."
"EMBER-2","Думаешь, мы могли бы выбрать случайную поп-песню и сделать ее хитом?"
SECTION-POST,
"EMBER-2","Это было на удивление легко."
"EMBER-2","Люди заказывают сингл, напевают его про себя, покупают альбом..."
"EMBER-2","Просто потому, что они это уже слышали."
"EMBER-2","Это действительно все, что нужно?"
"Moss","Возможно, это была хорошая песня с самого начала."
,"Я уверен, что реальность сложнее."
,"СМИ – это обман."
"EMBER-2","Думаю, это может быть правдой."
,"Может быть."
,"Это так кажется..."
"EMBER-2","Хм."
"EMBER-2","_Девочка, тебе нужно понять..._"
"EMBER-2","_Я просто не могу тебя не забыть!_"
"EMBER-2","Упс. Думаю, это довольно цепляет."
SECTION-CHAT,
"hydroponix","Я голоден"
"plastered","ты всегда голоден"
"selenium_wolf","что, по-твоему, мы будем с этим делать?"
"hydroponix","кто-то должен изобрести еду, которую можно просто есть"
"plastered","разве это не еда"
"hydroponix","я имею в виду, как будто ты можешь просто поместить это в свое тело"
"selenium_wolf","типа таблетки или что-то в этом роде?"
"hydroponix","да, пищевая таблетка"
"plastered","это было бы круто"
"plastered","отстойно постоянно переставать есть"
