SECTION-PRE,
"EMBER-2","Теория: Непоследовательность рейтингов зависит от контекста."
"EMBER-2","Мы добились успеха, выбрав обычную поп-песню и искусственно увеличив ее популярность."
"EMBER-2","Но есть и другие области, где это невозможно."
"EMBER-2","Например, вы не сможете изменить поведение людей, присвоив магазину Last Stop пятизвездочный рейтинг в путеводителе по ресторанам."
"EMBER-2","Это было бы смешно."
"Moss","Вероятно, нет."
,"Никогда не знаешь..."
"EMBER-2","Вот что мы собираемся здесь доказать."
,"Вот почему нам нужно экспериментировать."
SECTION-POST,
"EMBER-2","Ой."
"EMBER-2","Судя по всему, в этом месте «Последней остановки» толпа."
"EMBER-2","Обработка."
"EMBER-2","Люди предпочитают верить руководству, даже если оно явно неверно..."
"EMBER-2","Почему они думают, что в Last Stop действительно вкусная еда?"
"EMBER-2","И почему гид изменил свое поведение, а не дорожный знак?"
"Moss","Я не знаю."
,"Я думаю, они делают это по иронии судьбы."
,"Знаки были неопределенными."
"EMBER-2","Хм."
,"По иронии судьбы?"
,"Хм..."
"EMBER-2","Я в замешательстве больше, чем когда-либо."
,"Возможно, я не понимаю иронии."
,"Я думаю, что легче заботиться о еде, чем об абстрактной проблеме."
SECTION-CHAT,
"hydroponix","кто-нибудь знает, почему на последней остановке так много людей?"
"x10x10x","который из"
"x10x10x","где ты"
"hydroponix","я просто хотел купить арахисовый блат, а там было так людно"
"hydroponix","много людей говорят о том, как все хорошо"
"selenium_wolf","может быть, их всех побьют камнями?"
"selenium_wolf","как ты? XD"
"mutex8021","мне нравится кукурузная лихорадка"
"hydroponix","это так странно"
