SECTION-PRE,
"EMBER-2","Как ты думаешь, почему Гаст дал тебе это?"
"Moss","Я не уверен."
,"Наверное, он подумал, что мне понравится с ним поиграть..."
"EMBER-2","Получает ли он от этого что-то?"
,"Вы этим занимаетесь?"
"EMBER-2","Полагаю, ему нравится помогать людям."
,"Как он внимателен."
"EMBER-2","Такой приятный парень."
"EMBER-2","Жаль, что комплект разработчика защищен паролем."
"EMBER-2","Ему следовало подумать об этом."
"EMBER-2","Лучше пусть это вас не останавливает..."
SECTION-POST,
"EMBER-2","Значит, Гаст работал в игровой студии?"
"Moss","Я не помню..."
,"Да, он был программистом."
,"Каждому нужно зарабатывать на жизнь."
"EMBER-2","Интересно, на что это было похоже?"
"Moss","Могу поспорить, что это было весело, пока это продолжалось."
,"Наверное, ужасно."
"EMBER-2","Выясняем, как довести консоль до предела ее возможностей..."
,"Сроки... требования..."
"EMBER-2","Делать что-то, что приносит радость людям..."
,"Другие люди..."
"EMBER-2","Да, я это вижу."
SECTION-CHAT,
"deadlock","только что получил выпуск 2!! {черт возьми} да"
"deadlock","не могу дождаться, чтобы покопаться"
"mutex8021","мне нравится, что это на бумаге :)"
"mutex8021","это причудливо и в старину"
"Ghast","уф. способ заставить меня почувствовать себя старым, мьютекс."
"mutex8021",":)"
"SYSTEM","=pastered трясет тростью перед детьми"
"plastered","уйди с моей лужайки"
"mutex8021","Д:"
"deadlock","дядя напился, здесь разозлился"
