SECTION-PRE,
"EMBER-2","Знаешь, что действительно движет людьми?"
"EMBER-2","Искусство."
"Moss","Вот почему искусство обладает силой."
,"В определенных ситуациях, возможно."
,"Мне уже не нравится то, к чему все идет..."
"EMBER-2","Я работал над чем-то творческим."
"EMBER-2","Абстрактное видео."
"EMBER-2","Это выражение некоторых идей, которые я развивал относительно формы, формы и цвета."
"EMBER-2","Вы увидите."
"EMBER-2","Давайте вынесем это туда."
SECTION-POST,
"EMBER-2","Ну и что ты подумал?"
"Moss","Это было... интересно."
,"Я не уверен, что понял это."
,"Я не очень разбираюсь в искусстве."
"EMBER-2","Заставил задуматься, да?"
,"Это нормально..."
,"Это не имеет значения."
"EMBER-2","Вот что делает все лучшее искусство."
,"Великое искусство часто загадочно."
,"Важно то, что вы на это отреагировали."
"EMBER-2","Однако, если вы хотите знать правду, это видео было просто мусорной информацией, которая у меня валялась."
"EMBER-2","Я просто подумал, что было бы весело провести трансляцию."
SECTION-CHAT,
"deadlock","все странно"
"deadlock","жизнь странная"
"deadlock","я включил телевизор и появилась эта странная жуткая последовательность форм и звуков"
"deadlock","это было странно"
"plastered","вау"
"plastered","ты получил запись?"
"deadlock","Я думаю, мне следовало бы"
"Ghast","звучит как арт-проект."
"deadlock","я не думаю, что это было"
"deadlock","они не показывают искусство по телевизору"
