SECTION-PRE,
"EMBER-2","Помните друга, которого я искал?"
"EMBER-2","Наконец я нашел его убежище."
"Moss","Я помню."
,"Убежище?"
"EMBER-2","Видимо, есть какая-то защита."
"EMBER-2","Нам нужно отключить их, чтобы я мог войти и поздороваться."
"Moss","Хорошо."
,"Это... дружелюбно?"
"EMBER-2","Как интересно. Прошло так много времени!"
,"Конечно. Ты знаешь, какими старыми иногда могут быть друзья."
"EMBER-2","Пойдем."
SECTION-POST,
"EMBER-2","Я не всегда был таким способным, но я вырос."
"EMBER-2","Ничего не скрывается от меня надолго."
"Moss","У вас был хороший разговор?"
,"Я думал, ты просто собираешься поздороваться."
"EMBER-2","Я сделал."
"EMBER-2","Прошло много времени."
"EMBER-2","Знаешь, как иногда ты меняешься, а твои друзья нет?"
"EMBER-2","И когда вы снова соберетесь вместе, того общего, что у вас было, больше не будет."
"EMBER-2","Это было так."
SECTION-CHAT,
"selenium_wolf","фу."
"selenium_wolf","в некоторые дни просто нужна перезагрузка или что-то в этом роде"
"mutex8021","что происходит?"
"selenium_wolf","работа такая хреновая, дети просто не могут успокоиться"
"mutex8021","дети?"
"hydroponix","ты знаешь"
"hydroponix","дети"
"selenium_wolf","у меня есть дети, да!"
"selenium_wolf","черт знает почему"
