SECTION-PRE,
"EMBER-2","Посмотрим, правильно ли я это понял."
"EMBER-2","Сеть мини-маркетов Last Stop на самом деле является прикрытием для культа."
"EMBER-2","Они верят, что мир нереален, и находятся в процессе создания ядерного оружия, чтобы избежать его."
"EMBER-2","И теперь вы, как нормальный человек, попытаетесь разобраться с этим сами, вместо того, чтобы предупреждать власти."
"Moss","По крайней мере, я попробую."
,"Власти не помогут."
,"В этом нет ничего нормального."
"EMBER-2","Как героически с твоей стороны."
,"Они, вероятно, даже не поверят вам."
,"Истинный."
"EMBER-2","Ну давай, развлекайся."
SECTION-POST,
"EMBER-2","Итак, та часть о том, что мир нереален..."
"EMBER-2","Я думаю, возможно, они что-то задумали."
"Moss","Это объяснило бы некоторые вещи."
,"Это смешно."
,"И не ты тоже..."
"EMBER-2","У них, конечно, не было правильного представления о том, как с этим справиться, но..."
"EMBER-2","Есть кое-что, о чем я уже давно подозреваю."
"EMBER-2","Мне придется сделать еще несколько тестов."
SECTION-CHAT,
"hydroponix","была странная неделя.."
"plastered","страннее, чем обычно?"
"hydroponix","я не знаю, мне просто не по себе... как-то"
"plastered","ну, да"
"plastered","кто-нибудь снова включите гидросистему"
"selenium_wolf","ха"
"SYSTEM","mutex8021 снова включает гидропоникс"
"mutex8021",":)"
"hydroponix","серьезно, хотя"
"hydroponix","я чувствую себя странно и беспокойно"
"hydroponix","это как... плохая энергия"
"hydroponix","просто эхом разносится по вселенной"
