SECTION-PRE,
"EMBER-2","Есть еще один файл, который я хочу захватить."
"EMBER-2","Они попытались все очистить, но, к счастью, есть набор резервных копий."
"EMBER-2","Всегда держите резервную копию, верно?"
"Moss","Верно."
,"Иногда полезно стереть..."
,"Что случилось?"
"EMBER-2","Никогда не знаешь, что произойдет."
,"Если бы у ваших воспоминаний были резервные копии, вы бы лучше помнили свое прошлое."
,"Ох, ничего особенного."
"EMBER-2","Данные более хрупкие, чем думают люди."
,"Просто говорю."
,"Обычные исследовательские проекты."
SECTION-POST,
"EMBER-2","Какой-то позор, что здесь произошло."
"EMBER-2","Было интересное исследование."
"Moss","Что случилось?"
,"Какое тебе дело до этого места?"
,"Мне это кажется подозрительным."
"EMBER-2","О, ты знаешь."
,"Эта сеть?"
,"Думаете так?"
"EMBER-2","Люди меняются, приоритеты меняются..."
,"Просто место, где я тусовался."
,"Не менее подозрительно, чем любое другое исследование искусственного интеллекта, финансируемое DARPA."
"EMBER-2","Дела не идут по многим причинам."
,"Вот и все."
,"Вряд ли это заговор."
SECTION-CHAT,
"deadlock","эй, гаст, могу ли я отправить статью?"
"Ghast","да, любой может подать заявку"
"mutex8021","очень круто"
"Ghast","просто должно быть хорошо"
"deadlock","узнал на днях о географических информационных системах"
"Ghast","звучит интересно..."
