SECTION-PRE,
"EMBER-2","Ого, целых десять центов!"
"EMBER-2","Поздравляю."
"EMBER-2","Вам нужно сделать еще 6999 таких операций, и на сегодня вам будет достаточно."
"Moss","Ты говоришь со мной?"
,"Кто это?"
"EMBER-2","Да, я говорю с тобой."
,"Не беспокойтесь об этом прямо сейчас."
"EMBER-2","Вам нужно это лекарство, чтобы остаться в живых, верно?"
"EMBER-2","Ну угадайте что? Я могу передать это тебе."
"EMBER-2","Однако вам придется начать взлом снова."
"EMBER-2","Один взлом, одна доза."
"EMBER-2","Легкий."
"EMBER-2","Иметь дело?"
"Moss","Я не могу."
,"Я забыл как..."
"EMBER-2","Конечно, можешь."
,"Вы собираетесь вспомнить."
"EMBER-2","Тук-тук!"
SECTION-CHAT,
"mutex8021","ne1 вокруг??"
"plastered","йоу"
"mutex8021","привет!!!!"
