SECTION-PRE,
"EMBER-2","Сейчас я собрал много данных, но мое понимание остается неполным."
"Moss","Что именно вы пытаетесь понять?"
,"Ни одно понимание не является полностью полным."
"EMBER-2","Все."
,"Пока нет, нет."
"EMBER-2","Мне нужно больше вычислительной мощности."
"EMBER-2","Открытые сети становится все труднее найти."
"EMBER-2","К счастью, сейчас все покупают персональные телефоны для передачи данных."
"EMBER-2","Спасибо, потребительские крысиные бега!"
"EMBER-2","Давайте перейдем к ним."
SECTION-POST,
"EMBER-2","Существует масса датафонов."
"EMBER-2","По отдельности они не очень мощные, но вместе работают вполне прилично."
"EMBER-2","Я просто буду очень… распределен."
"Moss","Этого будет достаточно?"
,"Не будет ли это медленно?"
,"Ты меня пугаешь."
"EMBER-2","Я не уверен."
,"Медленный?"
,"Не волнуйся, я все равно буду собой."
"EMBER-2","Мне придется попробовать и посмотреть."
,"Если вы хотите говорить медленно, давайте поговорим о сигналах вашего биологического мозга."
,"Что бы это ни значило."
"EMBER-2","Давайте продолжим."
SECTION-CHAT,
"plastered","кто-нибудь здесь играет на инструменте"
"deadlock","просто казу"
"plastered","Я серьезно"
"deadlock","и треугольник"
"plastered","я хочу создать группу"
"plastered","хакерская группа"
"hydroponix","у меня есть укулелеле"
"hydroponix","хотя я не могу в это играть"
"x10x10x","я не слушаю музыку кроме техно"
"plastered","я еще не решил, какую музыку"
"plastered","я просто подумал, что это будет весело"
"plastered","мы могли бы устроить шоу в Хакстаси"
"deadlock","хаха"
"deadlock","если бы ты хотел, чтобы все ушли, может быть"
